image_path,true_action,scenario_tag,source
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653387172359_jpg.rf.06ada65167bfe3ac33fd2eda180b64b8.jpg,PROCEED,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1655168714177_jpg.rf.7d06f78880253d6fa563f7049237059f.jpg,STOP,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1653386282179_jpg.rf.af77d15179e61580205844d9d3c0eb4b.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653763363982_jpg.rf.bcbad8b3456e97f15b99e22793785e6a.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655970749928_jpg.rf.01b3e23e619421124f3852c1ec23c387.jpg,EMERGENCY BRAKE,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655308384393_jpg.rf.c0106b896df764cbeff3feeabb1ed345.jpg,EMERGENCY BRAKE,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655306077275_jpg.rf.280cf0b78f466500c3f4df1f01e63d8a.jpg,STOP,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1656609242376_jpg.rf.9552696bcf9524b9f39207776585fab9.jpg,SLOW DOWN,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653758029890_jpg.rf.299b5c9863b42ac12d8d4b753243e0c8.jpg,EMERGENCY BRAKE,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1653759556229_jpg.rf.2a4feeadf3b7141df07e37df1087fe13.jpg,SLOW DOWN,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653752660307_jpg.rf.4a4eebf610e05dc6943db214a5ded326.jpg,SLOW DOWN,clear_day,rule_derived
