strategy_A,strategy_B,mcnemar_stat,p_value,wilcoxon_stat,wilcoxon_p_value,acc_A,acc_B,acc_diff,adj_p_value,is_stat_sig
Majority Voting,Confidence Weighted Voting,0.0,1.0,2645.0,0.0,0.3633,0.3633,0.0,1.0,False
Majority Voting,Rule-Based Arbitration,10.063,0.0015128547389551027,743.0,0.0,0.3633,0.2267,0.1367,0.07488,False
Majority Voting,Leader Election,10.191,0.0014112142320303613,4650.5,0.0,0.3633,0.2267,0.1367,0.07488,False
Majority Voting,Dynamic Reliability Scoring,0.0,1.0,2536.0,0.0,0.3633,0.3633,0.0,1.0,False
Majority Voting,Bayesian Fusion,0.0,1.0,1014.5,0.0,0.3633,0.3633,0.0,1.0,False
Majority Voting,Weighted Consensus,0.0,1.0,11588.5,0.0,0.3633,0.3633,0.0,1.0,False
Majority Voting,Softmax-Weighted Selection,0.0,1.0,6809.5,0.0,0.3633,0.3633,0.0,1.0,False
Majority Voting,Adaptive Reliability Learning,0.0,1.0,4230.5,0.0,0.3633,0.3633,0.0,1.0,False
Majority Voting,Dynamic Entropy-Weighted Ensemble,0.901,0.3424043343095255,18575.0,0.0165,0.3633,0.3333,0.03,1.0,False
Majority Voting,Adaptive Strategy Selection,10.063,0.0015128547389551027,1494.5,0.0,0.3633,0.2267,0.1367,0.07488,False
Confidence Weighted Voting,Rule-Based Arbitration,10.063,0.0015128547389551027,2022.5,0.0,0.3633,0.2267,0.1367,0.07488,False
Confidence Weighted Voting,Leader Election,10.191,0.0014112142320303613,14604.0,0.0,0.3633,0.2267,0.1367,0.07488,False
Confidence Weighted Voting,Dynamic Reliability Scoring,0.0,1.0,7571.0,0.0,0.3633,0.3633,0.0,1.0,False
Confidence Weighted Voting,Bayesian Fusion,0.0,1.0,105.0,0.0,0.3633,0.3633,0.0,1.0,False
Confidence Weighted Voting,Weighted Consensus,0.0,1.0,16002.5,3e-05,0.3633,0.3633,0.0,1.0,False
Confidence Weighted Voting,Softmax-Weighted Selection,0.0,1.0,15854.0,1e-05,0.3633,0.3633,0.0,1.0,False
Confidence Weighted Voting,Adaptive Reliability Learning,0.0,1.0,12462.5,0.0,0.3633,0.3633,0.0,1.0,False
Confidence Weighted Voting,Dynamic Entropy-Weighted Ensemble,0.901,0.3424043343095255,5210.5,0.0,0.3633,0.3333,0.03,1.0,False
Confidence Weighted Voting,Adaptive Strategy Selection,10.063,0.0015128547389551027,5765.5,0.0,0.3633,0.2267,0.1367,0.07488,False
Rule-Based Arbitration,Leader Election,0.125,0.7236736098317629,3791.5,0.0,0.2267,0.2267,0.0,1.0,False
Rule-Based Arbitration,Dynamic Reliability Scoring,10.063,0.0015128547389551027,14651.0,0.0,0.2267,0.3633,-0.1367,0.07488,False
Rule-Based Arbitration,Bayesian Fusion,10.063,0.0015128547389551027,14.0,0.0,0.2267,0.3633,-0.1367,0.07488,False
Rule-Based Arbitration,Weighted Consensus,10.063,0.0015128547389551027,1281.5,0.0,0.2267,0.3633,-0.1367,0.07488,False
Rule-Based Arbitration,Softmax-Weighted Selection,10.063,0.0015128547389551027,4949.5,0.0,0.2267,0.3633,-0.1367,0.07488,False
Rule-Based Arbitration,Adaptive Reliability Learning,10.063,0.0015128547389551027,10197.5,0.0,0.2267,0.3633,-0.1367,0.07488,False
Rule-Based Arbitration,Dynamic Entropy-Weighted Ensemble,10.223,0.0013866966453908126,759.0,0.0,0.2267,0.3333,-0.1067,0.07488,False
Rule-Based Arbitration,Adaptive Strategy Selection,0.0,1.0,21633.0,0.53103,0.2267,0.2267,0.0,1.0,False
Leader Election,Dynamic Reliability Scoring,10.191,0.0014112142320303613,7132.5,0.0,0.2267,0.3633,-0.1367,0.07488,False
Leader Election,Bayesian Fusion,10.191,0.0014112142320303613,18.0,0.0,0.2267,0.3633,-0.1367,0.07488,False
Leader Election,Weighted Consensus,10.191,0.0014112142320303613,8209.0,0.0,0.2267,0.3633,-0.1367,0.07488,False
Leader Election,Softmax-Weighted Selection,10.191,0.0014112142320303613,21415.5,0.49987,0.2267,0.3633,-0.1367,0.07488,False
Leader Election,Adaptive Reliability Learning,10.191,0.0014112142320303613,14985.0,0.0,0.2267,0.3633,-0.1367,0.07488,False
Leader Election,Dynamic Entropy-Weighted Ensemble,11.174,0.0008293287959082978,2579.5,0.0,0.2267,0.3333,-0.1067,0.04561,True
Leader Election,Adaptive Strategy Selection,0.125,0.7236736098317629,6929.5,0.0,0.2267,0.2267,0.0,1.0,False
Dynamic Reliability Scoring,Bayesian Fusion,0.0,1.0,1.0,0.0,0.3633,0.3633,0.0,1.0,False
Dynamic Reliability Scoring,Weighted Consensus,0.0,1.0,3139.5,0.0,0.3633,0.3633,0.0,1.0,False
Dynamic Reliability Scoring,Softmax-Weighted Selection,0.0,1.0,8104.5,0.0,0.3633,0.3633,0.0,1.0,False
Dynamic Reliability Scoring,Adaptive Reliability Learning,0.0,1.0,15305.5,0.0,0.3633,0.3633,0.0,1.0,False
Dynamic Reliability Scoring,Dynamic Entropy-Weighted Ensemble,0.901,0.3424043343095255,1308.0,0.0,0.3633,0.3333,0.03,1.0,False
Dynamic Reliability Scoring,Adaptive Strategy Selection,10.063,0.0015128547389551027,14149.5,0.0,0.3633,0.2267,0.1367,0.07488,False
Bayesian Fusion,Weighted Consensus,0.0,1.0,243.0,0.0,0.3633,0.3633,0.0,1.0,False
Bayesian Fusion,Softmax-Weighted Selection,0.0,1.0,79.5,0.0,0.3633,0.3633,0.0,1.0,False
Bayesian Fusion,Adaptive Reliability Learning,0.0,1.0,164.5,0.0,0.3633,0.3633,0.0,1.0,False
Bayesian Fusion,Dynamic Entropy-Weighted Ensemble,0.901,0.3424043343095255,1104.0,0.0,0.3633,0.3333,0.03,1.0,False
Bayesian Fusion,Adaptive Strategy Selection,10.063,0.0015128547389551027,52.0,0.0,0.3633,0.2267,0.1367,0.07488,False
Weighted Consensus,Softmax-Weighted Selection,0.0,1.0,6976.0,0.0,0.3633,0.3633,0.0,1.0,False
Weighted Consensus,Adaptive Reliability Learning,0.0,1.0,5260.5,0.0,0.3633,0.3633,0.0,1.0,False
Weighted Consensus,Dynamic Entropy-Weighted Ensemble,0.901,0.3424043343095255,6006.0,0.0,0.3633,0.3333,0.03,1.0,False
Weighted Consensus,Adaptive Strategy Selection,10.063,0.0015128547389551027,2777.5,0.0,0.3633,0.2267,0.1367,0.07488,False
Softmax-Weighted Selection,Adaptive Reliability Learning,0.0,1.0,11994.0,0.0,0.3633,0.3633,0.0,1.0,False
Softmax-Weighted Selection,Dynamic Entropy-Weighted Ensemble,0.901,0.3424043343095255,1822.5,0.0,0.3633,0.3333,0.03,1.0,False
Softmax-Weighted Selection,Adaptive Strategy Selection,10.063,0.0015128547389551027,5868.0,0.0,0.3633,0.2267,0.1367,0.07488,False
Adaptive Reliability Learning,Dynamic Entropy-Weighted Ensemble,0.901,0.3424043343095255,613.5,0.0,0.3633,0.3333,0.03,1.0,False
Adaptive Reliability Learning,Adaptive Strategy Selection,10.063,0.0015128547389551027,9701.0,0.0,0.3633,0.2267,0.1367,0.07488,False
Dynamic Entropy-Weighted Ensemble,Adaptive Strategy Selection,10.223,0.0013866966453908126,775.0,0.0,0.3333,0.2267,0.1067,0.07488,False
