strategy,accuracy,acc_ci_low,acc_ci_high,conflict_frame_acc,missed_stop_rate,ms_ci_low,ms_ci_high,false_alarm_rate,macro_f1,f1_proceed,f1_slow_down,f1_stop,f1_emergency_brake,brier_score,ece,mean_arb_ms,std_arb_ms,p95_arb_ms,mean_total_ms,effective_fps,tie_rate,conflict_res_rate,sample_frames
Majority Voting,0.3633,0.31,0.4167,0.3633,0.95,0.2066,0.3067,0.0917,0.1483,0.5455,0.0,0.0476,0.0,0.2235,0.071,0.119,0.612,0.105,487.53,2.1,0.0933,0.9067,300
Confidence Weighted Voting,0.3633,0.31,0.4167,0.3633,0.95,0.2066,0.3067,0.0917,0.1483,0.5455,0.0,0.0476,0.0,0.2328,0.1137,0.075,0.011,0.093,487.49,2.1,0.04,0.96,300
Rule-Based Arbitration,0.2267,0.18,0.2767,0.2267,0.0,0.0,0.0,0.9167,0.1196,0.1353,0.0,0.0,0.343,0.7541,0.7582,0.064,0.012,0.082,487.48,2.1,0.0033,0.9967,300
Leader Election,0.2267,0.18,0.2767,0.2267,0.0,0.0,0.0,0.9167,0.1579,0.1353,0.0,0.1379,0.3583,0.71,0.7296,0.072,0.013,0.09,487.49,2.1,0.03,0.97,300
Dynamic Reliability Scoring,0.3633,0.31,0.4167,0.3633,0.95,0.2066,0.3067,0.0917,0.1483,0.5455,0.0,0.0476,0.0,0.2241,0.0665,0.067,0.012,0.088,487.48,2.1,0.0,1.0,300
Bayesian Fusion,0.3633,0.31,0.4167,0.3633,0.95,0.2066,0.3067,0.0917,0.1483,0.5455,0.0,0.0476,0.0,0.3374,0.3082,0.115,0.016,0.141,487.53,2.1,0.0,1.0,300
Weighted Consensus,0.3633,0.31,0.4167,0.3633,0.95,0.2066,0.3067,0.0917,0.1483,0.5455,0.0,0.0476,0.0,0.2241,0.0665,0.078,0.012,0.099,487.49,2.1,0.0,1.0,300
Softmax-Weighted Selection,0.3633,0.31,0.4167,0.3633,0.95,0.2066,0.3067,0.0917,0.1483,0.5455,0.0,0.0476,0.0,0.2236,0.0635,0.073,0.011,0.096,487.49,2.1,0.0,1.0,300
Adaptive Reliability Learning,0.3633,0.31,0.4167,0.3633,0.95,0.2066,0.3067,0.0917,0.1483,0.5455,0.0,0.0476,0.0,0.2236,0.0635,0.07,0.012,0.092,487.48,2.1,0.0,1.0,300
Dynamic Entropy-Weighted Ensemble,0.3333,0.28,0.3834,0.3333,0.4125,0.0767,0.1467,0.425,0.2435,0.5292,0.0,0.1404,0.3043,0.2184,0.0851,0.087,0.016,0.111,487.5,2.1,0.0,1.0,300
Adaptive Strategy Selection,0.2267,0.18,0.2767,0.2267,0.0,0.0,0.0,0.9167,0.1196,0.1353,0.0,0.0,0.343,0.7531,0.7568,0.064,0.011,0.083,487.48,2.1,0.0033,0.9967,300
Baseline: Best Single Agent (Lane Detection Agent),0.4,0.3467,0.4533,0.4,1.0,0.2167,0.32,0.0,0.1429,0.5714,0.0,0.0,0.0,0.4425,0.45,0.05,0.0,0.05,487.46,2.1,0.0,1.0,300
Baseline: Centralized Planner,0.2267,0.18,0.2767,0.2267,0.0,0.0,0.0,0.9167,0.1196,0.1353,0.0,0.0,0.343,0.6287,0.6733,0.1,0.0,0.1,487.51,2.1,0.0,1.0,300
Oracle Upper Bound,0.9433,0.9167,0.9667,0.9433,0.2125,0.0333,0.0833,0.0,0.8147,0.9339,1.0,0.3333,0.9916,0.0567,0.0567,0.01,0.0,0.01,487.42,2.1,0.0,1.0,300
Baseline: Random Arbitration,0.3413,0.3166,0.364,0.3413,0.765,0.1833,0.226,0.2517,0.1961,0.5174,0.0,0.0649,0.2021,0.25,0.1587,0.02,0.0,0.02,487.43,2.1,0.0,1.0,1500
