run_id,image_path,perturbation_type,severity,strategy,pred_action,true_action,is_correct,confidence,was_tie,arbitration_ms,perception_ms,n_conflicts,agreement_rate
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,clean,none,Majority Voting,PROCEED,SLOW DOWN,False,0.333,False,0.08160003926604986,2141.8240999919362,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,clean,none,Confidence Weighted Voting,PROCEED,SLOW DOWN,False,0.369,False,0.06579997716471553,2141.8240999919362,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,clean,none,Rule-Based Arbitration,EMERGENCY BRAKE,SLOW DOWN,False,0.99,False,0.049499969463795424,2141.8240999919362,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,clean,none,Leader Election,EMERGENCY BRAKE,SLOW DOWN,False,0.96,True,0.057399971410632133,2141.8240999919362,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,clean,none,Dynamic Reliability Scoring,PROCEED,SLOW DOWN,False,0.326,False,0.05059997783973813,2141.8240999919362,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,clean,none,Bayesian Fusion,PROCEED,SLOW DOWN,False,0.453,False,0.08800002979114652,2141.8240999919362,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,clean,none,Weighted Consensus,PROCEED,SLOW DOWN,False,0.326,False,0.056100019719451666,2141.8240999919362,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,clean,none,Softmax-Weighted Selection,PROCEED,SLOW DOWN,False,0.322,False,0.07569999434053898,2141.8240999919362,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,clean,none,Adaptive Reliability Learning,PROCEED,SLOW DOWN,False,0.322,False,0.055299955420196056,2141.8240999919362,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,clean,none,Dynamic Entropy-Weighted Ensemble,EMERGENCY BRAKE,SLOW DOWN,False,0.274,True,0.06340001709759235,2141.8240999919362,1,0.6666666666666666
